#99928d
#372c16
#805f42
#251d15
#231c17
#3c3327
#bda17a
#756d63
#685a43
#3d2816
#685c47
#6d5b48
#5b4c38
#875a30
#867d7a
#534420
#5d6a68
#5c7078
#1f2229
#4b412f
#341908
#dbd4c4
#a39984
#b28c6a
#0e1116
#59757f
#242926
#d4cebf
#3c2d17
#202528
#677478
#5d6762
#ab9b7b
#18191b
#d2c3a4
#397060
#1d201f
#fdfaf8
#1f2521
#2b2528
#56382c
#a6814e
#9e894a
#8f8464
#5b3f1e
#a6997d
#86988f
#9e8c75
#624014
#0f6058
#455356
#9f7d5b
#130f11
#72909b
#938262
#6f3117
#04646b
#545957
#101319
#908464
#5d6b66
#1a1719
#0a0204
