#8d5532
#140a02
#dbdce0
#2d1f15
#302820
#d6d5d3
#2e1814
#1e130c
#231710
#2f1e11
#e8e0c6
#28170f
#352319
#845f30
#806242
#1e1c19
#24190e
#352e28
#291d12
#1f1405
#2d1c0e
#150e08
#735939
#e5d6bd
#854f3c
#7c593c
#5a5a59
#9e9d9d
#8b5f2f
#291f19
#25190f
#6e5943
#5e5e5e
#2a231e
#1b120a
#31271d
#635d48
#18130f
#755c41
#2b1a0d
#2d1b10
#110f0e
#e4d9c2
#26190f
#bda67e
#111a23
#211d18
#251c13
#1c1714
#2d1e15
#301e09
#2b1f0f
#5d5d5d
#261e17
#835e34
#352010
#73543e
#7b5838
#382114
#15100b
#845e3c
#eae0d4
