#d5d5d4
#3a311f
#231d17
#110b04
#b29577
#100d09
#7f643b
#251b10
#211d14
#432917
#6d5637
#1e1910
#b3a491
#a69b85
#7a5e42
#2b1e18
#2c2016
#baa183
#24180c
#251e16
#2f2a18
#28221b
#2a211e
#68553c
#181516
#785531
#7b5e48
#6b6051
#402812
#715631
#6f5b47
#785637
#412d1c
#4a5d54
#d8c9b5
#392815
#37281c
#1b1317
#695538
#766046
#805d38
#605945
#8e99a3
#705c4a
#5f514c
#1c261e
#7d5c34
#070a07
#a9898c
#ac8e78
#b09769
#534225
#9e977c
#a89b7c
#554025
#44646f
#6f6459
#71603d
#ab9274
#745a3e
#504129
#f8dd99
#b4966e
#484231
#b3aa9b
#161815
